Image_Name,xmin,ymin,xmax,ymax
Image_20.png,8288543.181868858,3692530.5494354786,8288843.181868858,3692830.5494354786
Image_21.png,8288543.181868858,3692830.5494354786,8288843.181868858,3693130.5494354786
Image_22.png,8288543.181868858,3693130.5494354786,8288843.181868858,3693430.5494354786
Image_23.png,8288543.181868858,3693430.5494354786,8288843.181868858,3693730.5494354786
Image_36.png,8288843.181868858,3693430.5494354786,8289143.181868858,3693730.5494354786
Image_37.png,8288843.181868858,3693730.5494354786,8289143.181868858,3694030.5494354786
Image_38.png,8288843.181868858,3694030.5494354786,8289143.181868858,3694330.5494354786
Image_39.png,8288843.181868858,3694330.5494354786,8289143.181868858,3694630.5494354786
Image_46.png,8289143.181868858,3692230.5494354786,8289443.181868858,3692530.5494354786
Image_47.png,8289143.181868858,3692530.5494354786,8289443.181868858,3692830.5494354786
Image_48.png,8289143.181868858,3692830.5494354786,8289443.181868858,3693130.5494354786
Image_49.png,8289143.181868858,3693130.5494354786,8289443.181868858,3693430.5494354786
Image_50.png,8289143.181868858,3693430.5494354786,8289443.181868858,3693730.5494354786
Image_51.png,8289143.181868858,3693730.5494354786,8289443.181868858,3694030.5494354786
Image_52.png,8289143.181868858,3694030.5494354786,8289443.181868858,3694330.5494354786
Image_53.png,8289143.181868858,3694330.5494354786,8289443.181868858,3694630.5494354786
Image_58.png,8289443.181868858,3690730.5494354786,8289743.181868858,3691030.5494354786
Image_63.png,8289443.181868858,3692830.5494354786,8289743.181868858,3693130.5494354786
Image_64.png,8289443.181868858,3693130.5494354786,8289743.181868858,3693430.5494354786
Image_65.png,8289443.181868858,3693430.5494354786,8289743.181868858,3693730.5494354786
Image_66.png,8289443.181868858,3693730.5494354786,8289743.181868858,3694030.5494354786
Image_67.png,8289443.181868858,3694030.5494354786,8289743.181868858,3694330.5494354786
Image_68.png,8289443.181868858,3694330.5494354786,8289743.181868858,3694630.5494354786
Image_76.png,8289743.181868858,3692830.5494354786,8290043.181868858,3693130.5494354786
Image_77.png,8289743.181868858,3693130.5494354786,8290043.181868858,3693430.5494354786
Image_78.png,8289743.181868858,3693430.5494354786,8290043.181868858,3693730.5494354786
